iterations,error_feas_max,error_feas_mean,error_opt_max,error_opt_mean,error_total_mean
100,0.006605291126812184,0.001792236623034513,0.012460589987132478,0.002967150219791697,0.002379693421413105
101,0.006971411783197314,0.001441135236875683,0.003524320526348489,0.000649717697479,0.0010454264671773414
102,0.006896976585903656,0.0018797968277426615,0.018157783916929435,0.0021668602033684844,0.002023328515555573
103,0.0063160988574107345,0.0015459927149304004,0.0036356372500115515,0.00042645214024495043,0.0009862224275876755
104,0.0054566719163294895,0.0028957381353259667,0.0020729780822988215,0.0005180440381899441,0.0017068910867579553
105,0.00041772996159568674,0.00024449770556206834,0.0005955338989314329,0.00022925025515889663,0.00023687398036048249
106,0.0002771716314193639,0.00015860689979230953,0.0006989473760171652,0.00019887558892250277,0.00017874124435740616
107,0.000174953823592785,8.935529121987886e-05,0.0009203270631312835,0.00016409058892341495,0.0001267229400716469
108,0.000181552701813706,0.00015075503088082343,0.0011853396074939944,0.00029798113934567807,0.00022436808511325075
109,0.000330423577350059,0.00022842634029445258,0.0014917681350668462,0.00032523498331550783,0.0002768306618049802
110,0.0005329961561617123,0.00025219081395875593,0.0015979977197301569,0.0004935874538535822,0.0003728891339061691
111,0.0007892484694859035,0.0002667430228689873,0.0014724181578970464,0.0005193613038430474,0.00039305216335601737
112,0.001115137343484625,0.0003133018772943709,0.0013487861375579267,0.0004856532721056855,0.0003994775747000282
113,0.0013727599977667421,0.000961693948835593,0.0016188233515704881,0.0008397754945878867,0.0009007347217117399
114,0.0017085068043697503,0.0009879086694685858,0.0014205097368368577,0.0005278885442767645,0.0007578986068726752
115,0.002225634327629151,0.0012575705188176615,0.0010324961468234522,0.0006485116860667421,0.0009530411024422018
116,0.0028659993278958074,0.0018079111637727726,0.004342137254665811,0.0016491589515878432,0.0017285350576803078
117,0.0018148659284234878,0.000695077134328221,0.004949788847596405,0.0013452749517741322,0.0010201760430511766
118,0.004419370322056335,0.0023034343152688657,0.005332108920450419,0.0028364587724987954,0.0025699465438838304
119,0.005529190671377177,0.0015883796500148974,0.00728188577007228,0.0011253744889440232,0.0013568770694794602
120,0.00644012360548901,0.0035995122792463175,0.00954938440299758,0.0037741634842138596,0.0036868378817300883
121,0.006893239340673604,0.001953361779242083,0.01207367854289351,0.0025705742944442033,0.002261968036843143
122,0.007402153224101987,0.002631431719775527,0.014731940596744195,0.0015325352161360375,0.002081983467955782
123,0.007382291197172839,0.0031761688429353466,0.0176622100242294,0.005953287138330272,0.0045647279906328095
124,0.006870452484583495,0.002430906017833855,0.020106604781102058,0.002648041925926381,0.002539473971880118
125,0.006076240239228768,0.003585265037484236,0.02253226958126655,0.00351021390448055,0.003547739470982393
126,0.000473300932946386,0.00018588439631006355,0.0011230455118687991,0.0004801181098129461,0.00033300125306150484
127,0.00024908336664977764,0.00019277074568543884,0.0009625599768898676,0.0003666779387724652,0.000279724342228952
128,0.000276451320011547,0.0001326885235615543,0.0008023608707257395,0.0004866799771020944,0.00030968425033182435
129,0.00030600175857427227,0.0001266399034490638,0.0010170457008442447,0.0005380898892778733,0.00033236489636346856
130,0.00031714840136271304,0.00028006858294157925,0.0005296034172174802,0.00013139126896323928,0.00020572992595240927
131,0.0005178631276833459,0.0004101236888689205,0.0015932103113483077,0.00040168492228499845,0.00040590430557695947
132,0.0008070595027968104,0.0004574827691363791,0.0018986176356604024,0.0005552838344866656,0.0005063833018115224
133,0.0011554337104402066,0.0005168382552645196,0.0019878091090080228,0.0005281220849631727,0.0005224801701138462
134,0.0014032196215376296,0.0009305844470257136,0.001785282855496519,0.0007002944329934224,0.000815439440009568
135,0.001595970382566122,0.0008558012285075356,0.0026106050043616952,0.001044041836136202,0.0009499215323218688
136,0.0021248154566536233,0.0010163505355193978,0.0017279951230998974,0.0011599919211149365,0.001088171228317167
137,0.002790423595316463,0.00128778259112584,0.0044747758741349375,0.0014212986563016874,0.0013545406237137638
138,0.0036870171707032396,0.001486955924492028,0.0050143888866272055,0.0016041585649323978,0.0015455572447122129
139,0.004496691461558384,0.0020133935852290215,0.005393552535987341,0.0019547316864763535,0.0019840626358526873
140,0.005594680636545372,0.0018911726492805813,0.007103271818249523,0.001679216879702835,0.0017851947644917081
141,0.006579356000281288,0.002762762403950408,0.009325629188813371,0.0023230302090909765,0.0025428963065206923
142,0.007113046049792555,0.0023736115478371726,0.011868397367138891,0.002999273735648448,0.0026864426417428106
143,0.007702096880838956,0.0022100230323704173,0.014588353614733807,0.0016693362197608916,0.0019396796260656543
144,0.007742178023453076,0.002678227934122723,0.017148120575689457,0.004458635286443848,0.0035684316102832852
145,0.007304027360494549,0.0030921653043776277,0.0032192580657857592,0.00053521344618141,0.0018136893752795189
146,0.006559266498107704,0.0034119536054605577,0.021840733253877635,0.007171625432050184,0.005291789518755371
147,0.00038344079724583074,0.0002444396856984319,0.0018291672118422022,0.000818634341761995,0.0005315370137302135
148,0.0002868630585108303,0.00022271075348089154,0.0016068094255413858,0.00043833678814589024,0.00033052377081339086
149,0.00015130996637720672,8.575247023449029e-05,0.0009465228600244032,0.0001893045720110751,0.0001375285211227827
150,0.00034782160904487075,0.00019412614359586605,0.0012010527915461914,0.0002512222529253481,0.00022267419826060706
151,0.0003796767065168997,0.0002788706639878033,0.0013484885404450304,0.00034669980860144146,0.00031278523629462237
152,0.0005136820680046746,0.0003169812326109306,0.0015844934578316849,0.0009848005369429138,0.0006508908847769222
153,0.0008031125205594906,0.0004612475934403553,0.0018202898459405725,0.0009050046660151918,0.0006831261297277736
154,0.0011677230848000952,0.0009442089779370238,0.0020378188305089184,0.0006661714950321368,0.0008051902364845803
