iterations,error_feas_max,error_feas_mean,error_opt_max,error_opt_mean,error_total_max,error_total_mean
139,0.0012950759073029874,0.0008632459599181637,0.007801956321818674,0.0022851458299932266,0.004239505739616514,0.001574195894955695
140,0.0013483932806111285,0.0008746700517867675,0.004447513539780676,0.001303089480181973,0.002788092855387954,0.0010888797659843702
141,0.0013874481850239732,0.0008788069761929296,0.0071335416429646895,0.002068458215667998,0.003908472323242533,0.0014736325959304633
142,0.0011997902847377452,0.0007934934943384257,0.007636262971093194,0.002536977849239538,0.0044180266278636676,0.0016652356717889818
143,0.0014309583855362943,0.000850298632151978,0.006332651713712489,0.0021139007172190976,0.0036422217547460193,0.0014820996746855379
144,0.0014481742293596068,0.000689460876644123,0.008173308386839249,0.0013938300146130384,0.004451717205968182,0.0010416454456285806
145,0.0014784941758903241,0.0008449063298701792,0.008149179473479111,0.0017081400790813644,0.004438352793722421,0.001276523204475772
146,0.0015179913633665745,0.0011106777252048968,0.006499907149137544,0.0015820378471244582,0.0037076102122476926,0.0013463577861646775
147,0.0015734794890750756,0.0011228412186488604,0.007419147589599215,0.0027003986634525808,0.00440873490130266,0.0019116199410507205
148,0.00162754070719613,0.001031840888052927,0.008440047931840985,0.002425907099906032,0.004941042194202045,0.0017288739939794796
149,0.0016581284382849518,0.0008912720949198002,0.008213986631203951,0.003670343209020408,0.004563686651018573,0.002280807651970104
150,0.0016717650790350328,0.0009981432699911464,0.008623888315968211,0.0028011154279583977,0.004682533805250642,0.001899629348974772
151,0.0016844523344139604,0.0012851812740309822,0.003995813446024492,0.0017225761014534277,0.0027904475087569955,0.001503878687742205
152,0.001690526798483908,0.0011709414629458472,0.006396688834830186,0.0019624460205280112,0.0037287712579064073,0.0015666937417369293
153,0.0016916786421476177,0.001414820425331116,0.0028705274766945787,0.001519403380771766,0.002281102996923966,0.0014671119030514408
154,0.0017421983305003015,0.0011827892855542275,0.007845582820464306,0.0020971210036002837,0.004519457147189123,0.0016399551445772553
155,0.0009385652964760519,0.0005758853356778039,0.006818704146661575,0.0018934302778290998,0.0038615622741260984,0.0012346578067534517
156,0.0009202792864234763,0.0005094105001268249,0.007473838032535113,0.0015713615064188399,0.0039794947768157975,0.0010403860032728324
157,0.0009077827081837952,0.0006850527599565856,0.00627247234559403,0.001311976410089934,0.0035901274936662388,0.0009985145850232601
158,0.0009202463684681241,0.0005587768638893447,0.007775552374598375,0.003100196951554728,0.004347899371533249,0.001829486907722036
159,0.000942385021574454,0.0006938498123523487,0.0013041414316864145,0.0003581506494024428,0.0011232632266304342,0.0005260002308773958
160,0.0009571098682987349,0.0008139078034177651,0.006438905206735091,0.0017283797907565123,0.003657403606303737,0.0012711437970871387
161,0.0008614208855622898,0.000507614089012222,0.00651562287231016,0.0016065212778103902,0.0036885218185300638,0.0010570676834113064
162,0.0009631140129176139,0.0007779063318319715,0.006069727182506162,0.0012233217242105315,0.003516420597711796,0.0010006140280212515
163,0.0009330073353182559,0.0006000262197239775,0.0038593483922348595,0.0014987947763847617,0.0019825741933956267,0.0010494104980543696
